Product,Brand,Quantity,Store,Country,URL,Search_Term
Gallette di farro,Conad,,Conad,Italy,https://world.openfoodfacts.org/product/8003170055315/gallette-di-farro-conad,cereals
Pane soffice con Farina integrale,CONAD,400,Conad,Italy,https://world.openfoodfacts.org/product/8003170064768/pane-soffice-con-farina-integrale-conad,cereals
High Protein Cereal Bar,Magic Spoon,,,Italy,https://world.openfoodfacts.org/product/0810104460279/high-protein-cereal-bar-magic-spoon,cereals
Fusilli,Barilla,,,Italy,https://world.openfoodfacts.org/product/8076809579872/fusilli-barilla,cereals
Trofie,"GR.A.M.M., Meliora",,,Italy,https://world.openfoodfacts.org/product/8017070772425/trofie-gr-a-m-m,cereals
Muesli naturalix,Vitalibre,750g,,Italy,https://world.openfoodfacts.org/product/8033520548778/muesli-naturalix-vitalibre,cereals
Piada classica,Ster,,,Italy,https://world.openfoodfacts.org/product/8001551080031/piada-classica-ster,cereals
Tagliatelle 500g Barilla,Barilla norge,500 g,,Italy,https://world.openfoodfacts.org/product/8076809580731/tagliatelle-500g-barilla-barilla-norge,cereals
Multicereali  vaniglia e cioccolato,Pam panorama bio,,,Italy,https://world.openfoodfacts.org/product/8004263681923/multicereali-vaniglia-e-cioccolato-pam-panorama-bio,cereals
Tagliolini,Giovanni Rana,,,Italy,https://world.openfoodfacts.org/product/8001665700474/tagliolini-giovanni-rana,cereals
Boulgour au naturel,Cereal bio,,,Italy,https://world.openfoodfacts.org/product/8151681018210/boulgour-au-naturel-cereal-bio,cereals
Knäckebrot,Schär,100 gram,,Italy,https://world.openfoodfacts.org/product/8008698034125/knackebrot-schar,cereals
Galette  de céréales orge chèvre et miel,Céréal bio,,,Italy,https://world.openfoodfacts.org/product/8151681708074/galette-de-cereales-orge-chevre-et-miel-cereal-bio,cereals
Riso Basmati,Carrefour BIO,500 g,Carrefour,Italy,https://world.openfoodfacts.org/product/8012666053056/riso-basmati-carrefour-bio,cereals
Penne farro,Poggio del Farro,,,Italy,https://world.openfoodfacts.org/product/8033413343053/penne-farro-poggio-del-farro,cereals
Piadina romagnola IGP la spessa,Riccione Piadina,,,Italy,https://world.openfoodfacts.org/product/8020926000351/piadina-romagnola-igp-la-spessa-riccione-piadina,cereals
Polenta ai porcini,"Cascina Belvedere, Sapori d'Italia",,,Italy,https://world.openfoodfacts.org/product/8032542749750/polenta-ai-porcini-cascina-belvedere,cereals
Beans,Cereal terra,,,Italy,https://world.openfoodfacts.org/product/8024336014458/beans-cereal-terra,cereals
Ciambelle al vino rosso - ciardi - ciardi,Ciardi,,,Italy,https://world.openfoodfacts.org/product/8008947500357/ciambelle-al-vino-rosso-ciardi-ciardi,cereals
Palline di mais al cacao,Benesì,250,,Italy,https://world.openfoodfacts.org/product/8001120699312/palline-di-mais-al-cacao-benesi,cereals
Riz long,Victoria,5 kg,,Italy,https://world.openfoodfacts.org/product/8000483155084/riz-long-victoria,cereals
Riz complet mélangé à grains longs,Gli Aironi,,,Italy,https://world.openfoodfacts.org/product/8027498011556/riz-complet-melange-a-grains-longs-gli-aironi,cereals
Rigatoni Romani Selezione Oro,Barilla,85.0g,,Italy,https://world.openfoodfacts.org/product/8076809528092/rigatoni-romani-selezione-oro-barilla,cereals
Farine,Agugiaro&Figna,,,Italy,https://world.openfoodfacts.org/product/8028630090538/farine-agugiaro-figna,cereals
Risotto alla Zucca,Cascina Belvedere,,,Italy,https://world.openfoodfacts.org/product/8032542740177/risotto-alla-zucca-cascina-belvedere,cereals
Caramelle al cioccolato,"Il Panettiere di Dambrosio, Panificio Giannini",,,Italy,https://world.openfoodfacts.org/product/8033315690859/caramelle-al-cioccolato-il-panettiere-di-dambrosio,cereals
Piada,"Sapore del grano, Ster",,,Italy,https://world.openfoodfacts.org/product/8001551081106/piada-sapore-del-grano,cereals
Pomodori secchi,"Ape  Gaia, Cereal terra",,,Italy,https://world.openfoodfacts.org/product/8024336015264/pomodori-secchi-ape-gaia,cereals
Pâtes bio complètes riz,Castagno,,,Italy,https://world.openfoodfacts.org/product/8013885050857/pates-bio-completes-riz-castagno,cereals
Gressins,Mario Fongo,,,Italy,https://world.openfoodfacts.org/product/8028947010137/gressins-mario-fongo,cereals
Super Grissini,Vitavigor,,,Italy,https://world.openfoodfacts.org/product/8007900302656/super-grissini-vitavigor,cereals
Overnight oats,Isola Bio,,,Italy,https://world.openfoodfacts.org/product/8023678730095/overnight-oats-isola-bio,cereals
Stelline bio intégrale,Rummo,,,Italy,https://world.openfoodfacts.org/product/8008343700221/stelline-bio-integrale-rummo,cereals
Linguine bio,Bio,,,Italy,https://world.openfoodfacts.org/product/8055681052994/linguine-bio,cereals
Gnocchi,Eataly,,,Italy,https://world.openfoodfacts.org/product/8009344100324/gnocchi-eataly,cereals
Pad thaï,Cereal bio,,,Italy,https://world.openfoodfacts.org/product/8371259586518/pad-thai-cereal-bio,cereals
Mushroom risotto,Poggio del Farro,,,Italy,https://world.openfoodfacts.org/product/8033413342261/mushroom-risotto-poggio-del-farro,cereals
Zuppa di Farro e Ortiche,Cereal Terra,,,Italy,https://world.openfoodfacts.org/product/8024336014441/zuppa-di-farro-e-ortiche-cereal-terra,cereals
Quality sushi rice,Curtiriso,,,Italy,https://world.openfoodfacts.org/product/8017759647136/quality-sushi-rice-curtiriso,cereals
Grossi ni,Panequaglia,,,Italy,https://world.openfoodfacts.org/product/8033413621021/grossi-ni-panequaglia,cereals
Riso Roma,Riso della Sardegna,,,Italy,https://world.openfoodfacts.org/product/8001718001633/riso-roma-riso-della-sardegna,cereals
Pane bianco,Semenzato,,,Italy,https://world.openfoodfacts.org/product/8006227000399/pane-bianco-semenzato,cereals
Sablés,Céréal Bio,,,Italy,https://world.openfoodfacts.org/product/8298361060524/sables-cereal-bio,cereals
Galette boulgour et sarrasin,Céréal BIO,,,Italy,https://world.openfoodfacts.org/product/8056011799893/galette-boulgour-et-sarrasin-cereal-bio,cereals
Crescia sfogliata,Il panaro,370 g,,Italy,https://world.openfoodfacts.org/product/8030710044461/crescia-sfogliata-il-panaro,cereals
Focaccia,,,,Italy,https://world.openfoodfacts.org/product/8057288192271/focaccia,cereals
,Double Panda,1 kg,,Netherlands,https://world.openfoodfacts.org/product/8719992967360/riz-japonais-sushi-rice-double-panda,cereals
Robuust volkoren broodjes,Albert Heijn,80 gram,Albert Heijn,Netherlands,https://world.openfoodfacts.org/product/8718907108126/robuust-volkoren-broodjes-albert-heijn,cereals
Choco shels,Gwoon,,,Netherlands,https://world.openfoodfacts.org/product/8710624338046/choco-shels-gwoon,cereals
Tokimeki bread,Tokimeki,70 g,,Netherlands,https://world.openfoodfacts.org/product/8717624008221/tokimeki-bread,cereals
Cruesli 4 nuts,Quaker,,,Netherlands,https://world.openfoodfacts.org/product/8710398530615/cruesli-4-nuts-quaker,cereals
Granola ultimate organic,Rude health,500 gram,Ekoplaza,Netherlands,https://world.openfoodfacts.org/product/5060120281203/granola-ultimate-organic-rude-health,cereals
Horizon Tahin,Horizon,350 g,Ekoplaza,Netherlands,https://world.openfoodfacts.org/product/8712439011404/horizon-tahin,cereals
Ciabattina's,Albert Heijn,150g,Albert Heijn,Netherlands,https://world.openfoodfacts.org/product/8718265467736/panini-albert-heijn,cereals
Aardappelbolletjes,Gwoon,600 g,,Netherlands,https://world.openfoodfacts.org/product/8710624227067/aardappelbolletjes-gwoon,cereals
Nan garlic,TERRASANA,,,Netherlands,https://world.openfoodfacts.org/product/8713576003123/nan-garlic-terrasana,cereals
Protein nuts & caramel,B'tween,,,Netherlands,https://world.openfoodfacts.org/product/8713500013280/protein-nuts-caramel-b-tween,cereals
Koolhydraat Verlaagd Brood,De Hollandse Bakker,,,Netherlands,https://world.openfoodfacts.org/product/8718164667596/koolhydraat-verlaagd-brood-de-hollandse-bakker,cereals
Picos,Action,,,Netherlands,https://world.openfoodfacts.org/product/8718247444168/picos-action,cereals
Cornflakes estaladiços,,,,Portugal,https://world.openfoodfacts.org/product/5604321030033/cornflakes-estaladicos,cereals
Tortitas de arroz integral con quinoa,Continente,,Continente,Portugal,https://world.openfoodfacts.org/product/5601312075332/tortitas-de-arroz-integral-con-quinoa-continente,cereals
Barra de Cereais Zero Açúcares,Nacional,,,Portugal,https://world.openfoodfacts.org/product/5601066602150/barra-de-cereais-zero-acucares-nacional,cereals
Porridge,Prozis,,,Portugal,https://world.openfoodfacts.org/product/5600961157789/porridge-prozis,cereals
Wraps banana,Prozis,5 x 40 g,,Portugal,https://world.openfoodfacts.org/product/5600961123579/wraps-banana-prozis,cereals
Seitan,Seara,,,Portugal,https://world.openfoodfacts.org/product/5600341931244/seitan-seara,cereals
Fruit Granola,One day more,,,Poland,https://world.openfoodfacts.org/product/5902884465850/fruit-granola-one-day-more,cereals
Barre céréales,Nestlé,"23,5 g",,Poland,https://world.openfoodfacts.org/product/5900020041333/barre-cereales-nestle,cereals
Kasza gryczana prażona,,400 g,,Poland,https://world.openfoodfacts.org/product/5906827022605/kasza-gryczana-pra%C5%BCona,cereals
Tortilla wraps,Dijo,,,Poland,https://world.openfoodfacts.org/product/5900928002764/tortilla-wraps-dijo,cereals
Chia,Melvit,,,Poland,https://world.openfoodfacts.org/product/5906827015737/chia-melvit,cereals
Corn Flakes Honey And Nut,Nestle,,,Poland,https://world.openfoodfacts.org/product/5900020038616/corn-flakes-honey-and-nut-nestle,cereals
Nestle Fitnss Crnchy Carmel Bar,Fitness,23.5 gm,,Poland,https://world.openfoodfacts.org/product/5900020030276/nestle-fitnss-crnchy-carmel-bar-fitness,cereals
Fitos Smietana & cebula,Kupiec,,,Poland,https://world.openfoodfacts.org/product/5906747176556/fitos-smietana-cebula-kupiec,cereals
Granola z kawałkami czekolady,Promienie stońca,,,Poland,https://world.openfoodfacts.org/product/5907517586742/granola-z-kawa%C5%82kami-czekolady-promienie-sto%C5%84ca,cereals
Red Berries Breakfast Cereal Bar,Fitnesse,,,Poland,https://world.openfoodfacts.org/product/5900020037190/red-berries-breakfast-cereal-bar-fitnesse,cereals
Honey Cereal Bar,Cheerios,,,Poland,https://world.openfoodfacts.org/product/5900020037657/honey-cereal-bar-cheerios,cereals
Cinnamon cereal pillows,,,,Poland,https://world.openfoodfacts.org/product/5907713374044/cinnamon-cereal-pillows,cereals
Corn Crispbread,Tovago,,,Poland,https://world.openfoodfacts.org/product/5901534000205/corn-crispbread-tovago,cereals
Sweet corn,Heinz,,,Poland,https://world.openfoodfacts.org/product/5900783009427/sweet-corn-heinz,cereals
Cookies Cereal,Ostrovit,,,Poland,https://world.openfoodfacts.org/product/5903933907031/cookies-cereal-ostrovit,cereals
Havrefras,Orkla,600g,,Sweden,https://world.openfoodfacts.org/product/7311171008393/havrefras-orkla,cereals
Corn Flakes,ICA,500 g,,Sweden,https://world.openfoodfacts.org/product/7310751191050/corn-flakes-ica,cereals
,"Havrefras, Orkla Foods",300 g,,Sweden,https://world.openfoodfacts.org/product/7350126084389/havrefras,cereals
Västkustchips - havssalt,Estrella,180g,,Sweden,https://world.openfoodfacts.org/product/7310532103623/vastkustchips-havssalt-estrella,cereals
Mezze Maniche,Zeta,400g,,Sweden,https://world.openfoodfacts.org/product/7350002404546/mezze-maniche-zeta,cereals
Havsalt chips,Taffel,,,Sweden,https://world.openfoodfacts.org/product/7310532103142/havsalt-chips-taffel,cereals
Ugnsbakade chips - sourcream & onion,Estrella,,,Sweden,https://world.openfoodfacts.org/product/7310532302002/ugnsbakade-chips-sourcream-onion-estrella,cereals
Pain aux  céréales,Bageriet,,,Sweden,https://world.openfoodfacts.org/product/7392228004001/pain-aux-cereales-bageriet,cereals
"Müsli - 50% Frukt, nötter och frön",Ica,750 g,,Sweden,https://world.openfoodfacts.org/product/7318690054160/musli-50-frukt-notter-och-fron-ica,cereals
Müsli,Anglamark,,,Sweden,https://world.openfoodfacts.org/product/7300156580580/musli-anglamark,cereals
Knäcke Sesam,WASA,,,Sweden,https://world.openfoodfacts.org/product/7300400855105/knacke-sesam-wasa,cereals
Eko-Logiskt Basmati Ris,Eko-Logiskt,,,Sweden,https://world.openfoodfacts.org/product/7331746284915/eko-logiskt-basmati-ris,cereals
Rustik limpa,,,,Sweden,https://world.openfoodfacts.org/product/7310100558718/rustik-limpa,cereals
Protein Cereal Bar,Youthful Living,,,Sweden,https://world.openfoodfacts.org/product/0737186886387/protein-cereal-bar-youthful-living,cereals
Flocons d’avoine biocoop,,,,France,https://world.openfoodfacts.org/product/3421299654243/flocons-d-avoine-biocoop,oats
